Match_ID,Team_ID,Dire_Account_ID_0,Dire_Account_ID_1,Dire_Account_ID_2,Dire_Account_ID_3,Dire_Account_ID_4
5162448953,7586602.0,151069590,172424257,122049498,50580004,50828662
5160176990,7586602.0,50580004,151069590,122049498,50828662,172424257
5160096526,7586602.0,50828662,151069590,122049498,50580004,172424257
5231415621,7639736.0,127617979,123880365,123880365,92028391,92028391
5198475284,7586995.0,97590558,92847434,23883296,115141430,169025618
5198366053,7586995.0,103735745,169025618,23883296,97590558,115141430
5162392275,7586995.0,103735745,97590558,92847434,43619695,23883296
5202302510,7586995.0,43619695,23883296,97590558,115141430,92847434
5202170075,7586995.0,97590558,103735745,115141430,23883296,92847434
5163977410,7586995.0,115141430,23883296,43619695,103735745,97590558
5200380158,7586995.0,92847434,97590558,92847434,115141430,169025618
5133798765,7488894.0,119137163,193704726,86723143,193704726,113735534
5133703760,7488894.0,193704726,119137163,193704726,113735534,86723143
5279583313,7529823.0,92028391,92214768,92214768,92028391,92028391
5130968974,6658812.0,92028391,92028391,92214768,92214768,92214768
5040017840,7422041.0,113331514,56351509,11865327,123051238,152455523
5039803916,7422041.0,11865327,113331514,152455523,56351509,123051238
5176256941,7565625.0,192981126,299213834,348703642,390217220,110819366
5149470777,7565625.0,192981126,348703642,299213834,390217220,110819366
5151765286,7565625.0,390217220,348703642,390217220,299213834,192981126
5039922110,7390729.0,168385950,75750590,107023378,96183976,90324740
5035630342,7390729.0,107023378,90324740,168385950,75750590,96183976
5035486158,7390729.0,168385950,75750590,90324740,96183976,107023378
5200457097,7558577.0,86845752,412753955,110194593,34505203,103910993
5145655444,7558577.0,103910993,412753955,86845752,412753955,110194593
5390851844,7869044.0,99803639,177953305,385750274,194521913,173971950
5387107219,7869044.0,173971950,194521913,99803639,177953305,385750274
5388846035,7869044.0,194521913,177953305,385750274,173971950,99803639
5391044313,7869044.0,385750274,99803639,177953305,194521913,173971950
5419026033,7869044.0,177953305,99803639,385750274,91364275,194521913
5227025265,7640799.0,118207269,118207269,242885483,118207269,242885483
5233344853,7640799.0,91019997,242885483,242885483,91019997,118207269
5164116546,7586576.0,88153289,16317795,232033806,84853828,101062921
5164073564,7586576.0,101062921,84853828,88153289,232033806,16317795
4936728206,7285418.0,97597779,37658157,195353057,84853828,116514161
4985477674,7300262.0,100758751,197574429,242885483,95825708,101779337
5154706074,7540950.0,110539311,177085220,121052479,192914280,89871557
5441184832,7893914.0,157989498,131706718,99672424,88153289,97658618
